Arxiu,Objectes,Oset,JocDS,Cullera,Desconegut,Colors_oset
IMG_0642.jpg,4,1,0,1,2,"transparent"
IMG_0643.jpg,6,3,1,1,1,"transparent, transparent, groc"
IMG_0644.jpg,6,2,3,1,0,"transparent, transparent"
IMG_0645.jpg,4,1,0,1,2,"transparent"
IMG_0647.jpg,6,0,3,1,2,""
IMG_0520.HEIC,3,0,0,1,2,""
IMG_0521.HEIC,3,0,0,1,2,""
IMG_0524.HEIC,3,0,0,1,2,""
IMG_0525.HEIC,4,0,0,1,3,""
IMG_0526.HEIC,5,0,0,1,4,""
IMG_0530.HEIC,2,0,0,1,1,""
IMG_0531.HEIC,2,0,1,1,0,""
IMG_0532.HEIC,5,0,4,1,0,""
IMG_0533.HEIC,1,0,0,1,0,""
IMG_0534.HEIC,1,0,0,1,0,""
IMG_0535.HEIC,1,0,0,1,0,""
IMG_0538.HEIC,1,0,0,1,0,""
IMG_0539.HEIC,1,0,0,1,0,""
IMG_0540.HEIC,1,0,0,1,0,""
IMG_0541.HEIC,1,0,0,1,0,""
IMG_0542.HEIC,1,0,0,1,0,""
IMG_0543.HEIC,1,0,0,1,0,""
IMG_0545.HEIC,1,0,0,1,0,""
IMG_0547.HEIC,2,1,0,1,0,"transparent"
IMG_0548.HEIC,3,1,1,1,0,"transparent"
IMG_0642.HEIC,4,1,0,1,2,"transparent"
IMG_0643.HEIC,6,3,1,1,1,"transparent, transparent, groc"
IMG_0644.HEIC,6,2,3,1,0,"transparent, transparent"
IMG_0645.HEIC,6,0,3,1,2,""
IMG_0646.HEIC,5,2,2,1,0,"transparent, transparent"
