Arxiu,Objectes,Oset,JocDS,Cullera,Desconegut,Colors_oset
IMG_0519.HEIC,1,0,1,0,0,
IMG_0549.HEIC,1,0,1,0,0,
IMG_0550.HEIC,1,0,1,0,0,
IMG_0551.HEIC,1,0,1,0,0,
IMG_0552.HEIC,1,0,1,0,0,
IMG_0553.HEIC,1,0,1,0,0,
IMG_0554.HEIC,1,0,1,0,0,
IMG_0555.HEIC,1,0,1,0,0,
IMG_0556.HEIC,1,0,1,0,0,
IMG_0557.HEIC,1,0,1,0,0,
IMG_0558.HEIC,1,0,1,0,0,
IMG_0559.HEIC,5,0,5,0,0,
IMG_0560.HEIC,5,0,5,0,0,
IMG_0561.HEIC,5,0,5,0,0,
IMG_0562.HEIC,5,0,5,0,0,
IMG_0563.HEIC,4,0,3,0,1,
IMG_0564.HEIC,5,0,5,0,0,
IMG_0565.HEIC,5,0,5,0,0,
IMG_0566.HEIC,3,0,3,0,0,
IMG_0567.HEIC,2,0,2,0,0,
IMG_0568.HEIC,4,0,4,0,0,
