Arxiu,Objectes,Oset,JocDS,Cullera,Desconegut,Colors_oset
IMG_06341.jpg,3,3,0,0,0,"taronja, groc, transparent"
IMG_0648.jpg,9,8,0,0,1,"transparent, transparent, groc, transparent, groc, groc, transparent, transparent"
IMG_0570.HEIC,1,1,0,0,0,"transparent"
IMG_0571.HEIC,1,1,0,0,0,"transparent"
IMG_0572.HEIC,1,1,0,0,0,"transparent"
IMG_0573.HEIC,1,1,0,0,0,"transparent"
IMG_0574.HEIC,1,1,0,0,0,"transparent"
IMG_0575.HEIC,1,1,0,0,0,"transparent"
IMG_0576.HEIC,1,1,0,0,0,"transparent"
IMG_0577.HEIC,1,1,0,0,0,"transparent"
IMG_0578.HEIC,1,1,0,0,0,"transparent"
IMG_0580.HEIC,1,1,0,0,0,"transparent"
IMG_0581.HEIC,1,1,0,0,0,"transparent"
IMG_0582.HEIC,17,17,0,0,0,"transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent"
IMG_0583.HEIC,12,10,0,0,2,"transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent, transparent"
IMG_0584.HEIC,5,5,0,0,0,"transparent, transparent, transparent, transparent, transparent"
IMG_0585.HEIC,6,5,0,0,1,"transparent, transparent, transparent, transparent, transparent"
IMG_0586.HEIC,7,5,0,0,2,"transparent, transparent, transparent, transparent, transparent"
IMG_0590.HEIC,2,2,0,0,0,"transparent, transparent"
IMG_0595.HEIC,2,2,0,0,0,"transparent, groc"
IMG_0599.HEIC,8,7,0,0,1,"transparent, groc, transparent, groc, transparent, transparent, transparent"
IMG_0636.HEIC,3,2,0,0,1,"groc, transparent"
IMG_0641.HEIC,4,4,0,0,0,"transparent, groc, transparent, taronja"
IMG_0647.HEIC,10,9,0,0,1,"transparent, taronja, transparent, groc, transparent, groc, transparent, transparent, taronja"
IMG_0648.HEIC,11,9,0,0,2,"transparent, transparent, groc, transparent, groc, groc, transparent, transparent, taronja"
IMG_0649.HEIC,10,8,0,0,2,"groc, transparent, transparent, transparent, taronja, transparent, transparent, groc"
IMG_0650.HEIC,6,5,0,0,1,"transparent, taronja, transparent, groc, verd"
IMG_0651.HEIC,7,5,0,0,2,"transparent, transparent, groc, transparent, transparent"
